1_aplicacao,1_aplicacao_url,1_falta_1,1_falta_2,1_falta_3,1_falta_4,1_falta_5,2_aplicacao,2_aplicacao_url,2_falta_1,2_falta_2,2_falta_3,2_falta_4,2_falta_5
spring-shop-n3xt,http://localhost:8090,src/main/java/com/syqu/shop/controller/LoginController.java$$(error != null)$$(error == null),"src/main/java/com/syqu/shop/controller/LoginController.java$$@GetMapping(""/login"")$$@GetMapping(""/logi"")","src/main/java/com/syqu/shop/controller/CartController.java$$@GetMapping(""/cart/add/{id}"")$$@GetMapping(""/cart/add/{id"")",src/main/resources/templates/cart.html$$/cart/clear/$$/cart/clear/not-exist,src/main/resources/templates/fragments/footer.html$$@{/about}$$@{/abou},website-bistro-restaurant,http://localhost:8070,contact.html$$contact.html$$contact.htm,contact.html$$pricing.html$$pricing.htm,"about.html$$<a href=""#"" class=""btn btn-color""$$<a href=""https://ifood.com.br/bistro"" class=""btn btn-color""",index.html$$pricing.html$$pricing.htm,"about.html$$src=""img/team1.jpg""$$src=""img/team21.jpg"""
spring-petclinic,http://localhost:8080,src/main/java/org/springframework/samples/petclinic/owner/Owner.java$$(!pet.isNew())$$(pet.isNew()),"src/main/java/org/springframework/samples/petclinic/owner/Visit.java$$""visit_date""$$""visit_dat""",src/main/java/org/springframework/samples/petclinic/owner/VisitController.java$$@Valid$$,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java$$/pets/$$/pet/,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java$$ownersResults.isEmpty()$$!ownersResults.isEmpty(),website-learn-educational,http://localhost:8060,"index.html$$<li><a href=""about.html""$$<li><a href=""about.htm""","index.html$$<a href=""fees.html""$$<a href=""fees.htm""","about.html$$ href="""">Res$$ href=""teste.html"">Res","fees.html$$href=""#"">Dummy Link1$$href=""teste.html"">Dummy Link1","contact.html$$ href=""#""><i class=""fa fa-dribbble"">$$ href=""teste.html""><i class=""fa fa-dribbble"">"
